package,protocol,requested,resolved
"@adobe/css-tools","npm","^4.0.1","4.3.3"
"@adobe/css-tools","npm","^4.4.0","4.4.0"
"@alloc/quick-lru","npm","^5.2.0","5.2.0"
"@ampproject/remapping","npm","^2.2.0","2.3.0"
"@ampproject/remapping","npm","^2.2.1","2.3.0"
"@antfu/utils","npm","^0.7.10","0.7.10"
"@apidevtools/swagger-methods","npm","^3.0.2","3.0.2"
"@ardatan/relay-compiler","npm","12.0.0","12.0.0"
"@ariakit/core","npm","0.4.6","0.4.6"
"@ariakit/react","npm","^0.4.1","0.4.6"
"@ariakit/react-core","npm","0.4.6","0.4.6"
"@atomico/rollup-plugin-sizes","npm","^1.1.4","1.1.4"
"@aws-crypto/crc32","npm","3.0.0","3.0.0"
"@aws-crypto/crc32c","npm","3.0.0","3.0.0"
"@aws-crypto/ie11-detection","npm","^3.0.0","3.0.0"
"@aws-crypto/sha1-browser","npm","3.0.0","3.0.0"
"@aws-crypto/sha256-browser","npm","3.0.0","3.0.0"
"@aws-crypto/sha256-js","npm","^3.0.0","3.0.0"
"@aws-crypto/sha256-js","npm","3.0.0","3.0.0"
"@aws-crypto/supports-web-crypto","npm","^3.0.0","3.0.0"
"@aws-crypto/util","npm","^3.0.0","3.0.0"
"@aws-sdk/client-s3","npm","^3.556.0","3.569.0"
"@aws-sdk/client-sso","npm","3.568.0","3.568.0"
"@aws-sdk/client-sso-oidc","npm","3.569.0","3.569.0"
"@aws-sdk/client-sts","npm","3.569.0","3.569.0"
"@aws-sdk/core","npm","3.567.0","3.567.0"
"@aws-sdk/credential-provider-env","npm","3.568.0","3.568.0"
"@aws-sdk/credential-provider-http","npm","3.568.0","3.568.0"
"@aws-sdk/credential-provider-ini","npm","3.568.0","3.568.0"
"@aws-sdk/credential-provider-node","npm","3.569.0","3.569.0"
"@aws-sdk/credential-provider-process","npm","3.568.0","3.568.0"
"@aws-sdk/credential-provider-sso","npm","3.568.0","3.568.0"
"@aws-sdk/credential-provider-web-identity","npm","3.568.0","3.568.0"
"@aws-sdk/middleware-bucket-endpoint","npm","3.568.0","3.568.0"
"@aws-sdk/middleware-expect-continue","npm","3.567.0","3.567.0"
"@aws-sdk/middleware-flexible-checksums","npm","3.567.0","3.567.0"
"@aws-sdk/middleware-host-header","npm","3.567.0","3.567.0"
"@aws-sdk/middleware-location-constraint","npm","3.567.0","3.567.0"
"@aws-sdk/middleware-logger","npm","3.568.0","3.568.0"
"@aws-sdk/middleware-recursion-detection","npm","3.567.0","3.567.0"
"@aws-sdk/middleware-sdk-s3","npm","3.569.0","3.569.0"
"@aws-sdk/middleware-signing","npm","3.567.0","3.567.0"
"@aws-sdk/middleware-ssec","npm","3.567.0","3.567.0"
"@aws-sdk/middleware-user-agent","npm","3.567.0","3.567.0"
"@aws-sdk/region-config-resolver","npm","3.567.0","3.567.0"
"@aws-sdk/s3-request-presigner","npm","^3.556.0","3.569.0"
"@aws-sdk/signature-v4-multi-region","npm","3.569.0","3.569.0"
"@aws-sdk/token-providers","npm","3.568.0","3.568.0"
"@aws-sdk/types","npm","^3.222.0","3.567.0"
"@aws-sdk/types","npm","3.567.0","3.567.0"
"@aws-sdk/util-arn-parser","npm","3.568.0","3.568.0"
"@aws-sdk/util-endpoints","npm","3.567.0","3.567.0"
"@aws-sdk/util-format-url","npm","3.567.0","3.567.0"
"@aws-sdk/util-locate-window","npm","^3.0.0","3.568.0"
"@aws-sdk/util-user-agent-browser","npm","3.567.0","3.567.0"
"@aws-sdk/util-user-agent-node","npm","3.568.0","3.568.0"
"@aws-sdk/util-utf8-browser","npm","^3.0.0","3.259.0"
"@aws-sdk/xml-builder","npm","3.567.0","3.567.0"
